Dates,Cycle Yes/No,Step Count
2020-08-27,0,574.0
2020-08-28,0,644.0
2020-08-29,0,6455.0
2020-08-30,0,2238.0
2020-08-31,0,1990.0
2020-09-01,0,1890.0
2020-09-02,1,2659.0
2020-09-03,1,553.0
2020-09-04,1,2210.0
2020-09-05,1,2122.0
2020-09-06,0,1384.0
2020-09-07,0,1601.0
2020-09-08,0,2467.0
2020-09-09,0,1904.0
2020-09-10,0,1833.0
2020-09-11,0,2805.0
2020-09-12,0,437.0
2020-09-13,0,478.0
2020-09-14,0,461.0
2020-09-15,0,1016.0
2020-09-16,0,575.0
2020-09-17,0,1691.0
2020-09-18,0,1075.0
2020-09-19,0,3278.0
2020-09-20,0,2038.0
2020-09-21,0,1561.0
2020-09-22,0,1697.0
2020-09-23,0,1938.0
2020-09-24,1,1550.0
2020-09-25,1,3021.0
2020-09-26,1,6175.0
2020-09-27,1,5851.0
2020-09-28,1,2504.0
2020-09-29,1,1724.0
2020-09-30,0,2314.0
2020-10-01,0,1866.0
2020-10-02,0,5391.0
2020-10-03,0,4434.0
2020-10-04,0,486.0
2020-10-05,0,3741.0
2020-10-06,0,1681.0
2020-10-07,0,1617.0
2020-10-08,0,2078.0
2020-10-09,0,4808.0
2020-10-10,0,806.4
2020-10-11,0,1207.0
2020-10-12,0,2235.0
2020-10-13,0,3505.0
2020-10-14,0,2364.0
2020-10-15,0,2365.0
2020-10-16,0,3942.0
2020-10-17,0,1556.0
2020-10-18,0,2611.0
2020-10-19,0,230.0
2020-10-20,0,1544.0
2020-10-21,1,1920.0
2020-10-22,1,2089.0
2020-10-23,1,2998.0
2020-10-24,1,5203.0
2020-10-25,1,679.0
2020-10-26,1,1558.0
2020-10-27,0,2556.0
2020-10-28,0,13980.0
2020-10-29,0,219.0
2020-10-30,0,2068.0
2020-10-31,0,2912.0
2020-11-01,0,365.0
2020-11-02,0,1784.0
2020-11-03,0,1816.0
2020-11-04,0,1772.0
2020-11-05,0,1742.0
2020-11-06,0,4776.0
2020-11-07,0,1650.0
2020-11-08,0,294.0
2020-11-09,0,1516.0
2020-11-10,0,2389.0
2020-11-11,0,1929.0
2020-11-12,0,1472.0
2020-11-13,0,3220.0
2020-11-14,0,12711.0
2020-11-15,0,441.0
2020-11-16,0,579.0
2020-11-17,0,1281.0
2020-11-18,0,1033.0
2020-11-19,0,1067.0
2020-11-20,0,3097.0
2020-11-21,0,453.0
2020-11-22,1,716.0
2020-11-23,1,536.0
2020-11-24,1,1762.0
2020-11-25,1,337.0
2020-11-26,1,615.0
2020-11-27,0,1424.0
2020-11-28,0,3287.0
2020-11-29,0,1265.0
2020-11-30,0,347.0
2020-12-01,0,331.0
2020-12-02,0,261.0
2020-12-03,0,275.0
2020-12-04,0,3183.0
2020-12-05,0,2147.0
2020-12-06,0,1581.0
2020-12-07,0,1101.0
2020-12-08,0,549.0
2020-12-09,0,743.0
2020-12-10,0,538.0
2020-12-11,0,1296.0
2020-12-12,0,1867.0
2020-12-13,0,1942.0
2020-12-14,0,1678.0
2020-12-15,0,1788.0
2020-12-16,0,11128.0
2020-12-17,0,1778.0
2020-12-18,0,3130.0
2020-12-19,0,3935.0
2020-12-20,0,2930.0
2020-12-21,1,1979.0
2020-12-22,1,3215.0
2020-12-23,1,3936.0
2020-12-24,1,1900.0
2020-12-25,1,4958.0
2020-12-26,1,4838.0
2020-12-27,1,1524.0
2020-12-28,0,1834.0
2020-12-29,0,1699.0
2020-12-30,0,1515.0
2020-12-31,0,3637.0
2021-01-01,0,8770.0
2021-01-02,0,2605.0
2021-01-03,0,945.0
2021-01-04,0,6985.0
2021-01-05,0,2397.0
2021-01-06,0,2812.0
2021-01-07,0,2106.0
2021-01-08,0,8832.0
2021-01-09,0,1901.0
2021-01-10,0,2784.0
2021-01-11,0,1974.0
